Orthogroup	Protein_symB	Protein_symD
OG0000000	Breviolum534527	Durusdinium39271
OG0000000	Breviolum697786	Durusdinium40578
OG0000000	Breviolum318962	Durusdinium33161
OG0000000	Breviolum695273	Durusdinium33161
OG0000000	Breviolum573341	Durusdinium33161
OG0000000	Breviolum38518	Durusdinium33161
OG0000000	Breviolum695192	Durusdinium33161
OG0000000	Breviolum352676	Durusdinium33161
OG0000000	Breviolum789759	Durusdinium33161
OG0000000	Breviolum780012	Durusdinium33161
OG0000000	Breviolum147972	Durusdinium33161
OG0000000	Breviolum846688	Durusdinium33161
OG0000000	Breviolum258443	Durusdinium33161
OG0000000	Breviolum236564	Durusdinium11375
OG0000000	Breviolum697660	Durusdinium11375
OG0000000	Breviolum640929	Durusdinium11375
OG0000000	Breviolum764566	Durusdinium11375
OG0000000	Breviolum526218	Durusdinium11375
OG0000000	Breviolum94954	Durusdinium11375
OG0000000	Breviolum747207	Durusdinium11375
OG0000000	Breviolum850245	Durusdinium11375
OG0000000	Breviolum687725	Durusdinium11375
OG0000000	Breviolum765270	Durusdinium11375
OG0000000	Breviolum703231	Durusdinium11375
OG0000000	Breviolum506885	Durusdinium11375
OG0000000	Breviolum239512	Durusdinium11375
OG0000000	Breviolum132409	Durusdinium11375
OG0000000	Breviolum537150	Durusdinium38911
OG0000000	Breviolum63185	Durusdinium38911
OG0000000	Breviolum710734	Durusdinium38911
OG0000000	Breviolum765877	Durusdinium38911
OG0000000	Breviolum111803	Durusdinium38911
OG0000000	Breviolum840489	Durusdinium38911
OG0000000	Breviolum164822	Durusdinium38911
OG0000000	Breviolum5207	Durusdinium38911
OG0000000	Breviolum463992	Durusdinium38911
OG0000000	Breviolum696297	Durusdinium38911
OG0000000	Breviolum608312	Durusdinium38911
OG0000000	Breviolum234172	Durusdinium38911
OG0000000	Breviolum61874	Durusdinium38911
OG0000000	Breviolum603316	Durusdinium38911
OG0000000	Breviolum11970	Durusdinium38911
OG0000000	Breviolum143187	Durusdinium38911
OG0000000	Breviolum290290	Durusdinium38911
OG0000000	Breviolum439113	Durusdinium38911
OG0000000	Breviolum795144	Durusdinium38911
OG0000000	Breviolum98258	Durusdinium38911
OG0000000	Breviolum893952	Durusdinium38911
OG0000000	Breviolum682021	Durusdinium38911
OG0000000	Breviolum359471	Durusdinium38911
OG0000000	Breviolum54725	Durusdinium38911
OG0000000	Breviolum109801	Durusdinium38911
OG0000000	Breviolum20701	Durusdinium26682
OG0000000	Breviolum238293	Durusdinium26682
OG0000000	Breviolum6598	Durusdinium26682
OG0000000	Breviolum348007	Durusdinium26682
OG0000000	Breviolum536329	Durusdinium26682
OG0000000	Breviolum96628	Durusdinium26682
OG0000000	Breviolum253398	Durusdinium26682
OG0000000	Breviolum857155	Durusdinium26682
OG0000000	Breviolum636800	Durusdinium26682
OG0000000	Breviolum115326	Durusdinium26682
