Breviolum98143	K19755
Breviolum9977	K06891
Breviolum229426	K01698
Breviolum22642	K17757
Breviolum72491	K23518
Breviolum68730	K04905
Breviolum351872	K19882
Breviolum304606	K15171
Breviolum9460	K08292
Breviolum172928	K08912
Breviolum384167	K07874
Breviolum49203	K04856
Breviolum174577	K09503
Breviolum27727	K06180
Breviolum34710	K00545
Breviolum308641	K15335
Breviolum50876	K11204
Breviolum70601	K08269
Breviolum34483	K04083
Breviolum95060	K10589
Breviolum31236	K08582
Breviolum249540	K14683
Breviolum89360	K12132
Breviolum387842	K01854
Breviolum7040	K00681
Breviolum4427	K13354
Breviolum383824	K05016
Breviolum324000	K24512
Breviolum206953	K01369
Breviolum49127	K02183
Breviolum74780	K13121
Breviolum206009	K15505
Breviolum81515	K11971
Breviolum92577	K24353
Breviolum48975	K23257
Breviolum308700	K11982
Breviolum177135	K24485
Breviolum71171	K01887
Breviolum83436	K00001
Breviolum79725	K03217
Breviolum47152	K18479
Breviolum305796	K12460
Breviolum345334	K08056
Breviolum95889	K21867
Breviolum95754	K07520
Breviolum88801	K22833
Breviolum75031	K02883
Breviolum89332	K01810
Breviolum90552	K03686
Breviolum304831	K00295
Breviolum17702	K00018
Breviolum307688	K00387
Breviolum207024	K07146
Breviolum50835	K03145
Breviolum54361	K12624
Breviolum99260	K08994
Breviolum70858	K10860
Breviolum389767	K10418
Breviolum18027	K08287
Breviolum392431	K13119
Breviolum73102	K02940
Breviolum208010	K10534
Breviolum346423	K01689
Breviolum184228	K19525
Breviolum33081	K03654
Breviolum63027	K07376
Breviolum233361	K13025
Breviolum78421	K07555
Breviolum412121	K10475
Breviolum265485	K05275
Breviolum226001	K15687
Breviolum279037	K09503
Breviolum226779	K11188
Breviolum52563	K16726
Breviolum313104	K17499
Breviolum346548	K15111
Breviolum347278	K12603
Breviolum3262	K26163
Breviolum89088	K14018
Breviolum96916	K08960
Breviolum83384	K07376
Breviolum60183	K14012
Breviolum270126	K09584
Breviolum74722	K01918
Breviolum70691	K02945
Breviolum229843	K00819
Breviolum57823	K14963
Breviolum381815	K06215
Breviolum95268	K00167
Breviolum46606	K08517
Breviolum294588	K07375
