Breviolum180235	Peroxisomal biogenesis factor 7
Breviolum81386	Intraflagellar transport protein 80 homolog
Breviolum67602	Anaphase-promoting complex subunit 4 WD40 domain
Breviolum310742	Glutathione S-transferase, N-terminal domain
Breviolum156671	Glycosyltransferase family-like protein
Breviolum16784	cysteine-type peptidase activity
Breviolum88950	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family
Breviolum20309	ADP-ribosylglycohydrolase
Breviolum218038	Belongs to the GST superfamily
Breviolum84640	IGPS catalyzes the conversion of PRFAR and glutamine to IGP, AICAR and glutamate. The HisH subunit provides the glutamine amidotransferase activity that produces the ammonia necessary to HisF for the synthesis of IGP and AICAR
Breviolum77356	Belongs to the protein kinase superfamily
Breviolum16691	bicarbonate binding
Breviolum56413	serine threonine protein kinase
Breviolum286672	RING-like zinc finger
Breviolum13540	PrpF protein
Breviolum13724	structural constituent of ribosome
Breviolum156226	reductase
Breviolum99835	RNA-binding protein mei2 homologue
Breviolum65124	A-macroglobulin receptor
Breviolum272548	hydrolase activity
Breviolum220173	Specifically dimethylates two adjacent adenosines (A1518 and A1519) in the loop of a conserved hairpin near the 3'-end of 16S rRNA in the 30S particle. May play a critical role in biogenesis of 30S subunits
Breviolum103218	Hypothetical methyltransferase
Breviolum311024	Autophagy-related protein 18a-like
Breviolum14472	Belongs to the HesB IscA family
Breviolum136719	cystathionine gamma-synthase activity
Breviolum237294	2 iron, 2 sulfur cluster binding
Breviolum240013	Belongs to the protein kinase superfamily
Breviolum91347	transferase activity, transferring hexosyl groups
Breviolum213641	Prolyl-tRNA synthetase
Breviolum76468	Protein C21orf2 homolog
Breviolum76832	ATPase, P-type (transporting), HAD superfamily, subfamily IC
Breviolum85252	Belongs to the protein kinase superfamily
Breviolum17497	FATC
Breviolum39549	Leucine carboxyl methyltransferase
Breviolum208362	Taurine catabolism dioxygenase TauD, TfdA family
Breviolum30871	Pyridine nucleotide-disulphide oxidoreductase
Breviolum64994	protein serine/threonine kinase activity
Breviolum46418	CLN3 protein
Breviolum238570	PPPDE putative peptidase domain
Breviolum242984	Hydroxyacylglutathione hydrolase
Breviolum175339	peptidyl-prolyl cis-trans isomerase activity
Breviolum46171	Belongs to the purine pyrimidine phosphoribosyltransferase family
Breviolum146198	Belongs to the ubiquitin-conjugating enzyme family
Breviolum6388	positive regulation of protein exit from endoplasmic reticulum
Breviolum214454	Nitrile hydratase, alpha chain
Breviolum207074	Multifunctional enzyme that catalyzes the SAM-dependent methylations of uroporphyrinogen III at position C-2 and C-7 to form precorrin-2 via precorrin-1. Then it catalyzes the NAD- dependent ring dehydrogenation of precorrin-2 to yield sirohydrochlorin. Finally, it catalyzes the ferrochelation of sirohydrochlorin to yield siroheme
Breviolum64960	phosphatidylinositol dephosphorylation
Breviolum78376	photosynthetic electron transport chain
Breviolum58932	Belongs to the peptidase S1 family
Breviolum67475	oxidoreductase activity
Breviolum79669	2OG-Fe(II) oxygenase
Breviolum214192	HD domain
Breviolum133808	Tetratricopeptide repeat
Breviolum161228	methyltransferase activity
Breviolum245617	Calcineurin-like phosphoesterase
Breviolum237159	Belongs to the ubiquitin-conjugating enzyme family
Breviolum55091	oxidoreductase activity, acting on the CH-OH group of donors, quinone or similar compound as acceptor
Breviolum28358	Lipopolysaccharide kinase (Kdo/WaaP) family
Breviolum56655	membrane protein, terc
Breviolum56585	Tubulin-tyrosine ligase family
Breviolum57084	DNA polymerase A domain
Breviolum177696	ADP-ribosylglycohydrolase
Breviolum39611	Dynein, axonemal, heavy chain 9
Breviolum237285	ATP-dependent RNA helicase
Breviolum23516	Belongs to the glycosyl hydrolase 31 family
Breviolum184346	Lipase 3 N-terminal region
Breviolum245673	In Between Ring fingers
Breviolum99825	Glycosyltransferase sugar-binding region containing DXD motif
Breviolum109415	-
Breviolum282070	Succinylglutamate desuccinylase / Aspartoacylase family
Breviolum48821	NAD+ ADP-ribosyltransferase activity
Breviolum173858	Methyltransferase TYW3
Breviolum55277	oxidoreductase activity
Breviolum13155	ubiquitin-protein transferase activity
Breviolum66977	tricarboxylic acid biosynthetic process
Breviolum288854	elongation factor
Breviolum54412	secondary active sulfate transmembrane transporter activity
Breviolum156687	Lycopene cyclase protein
