OG0007653	Breviolum34574	K08798
OG0002734	Breviolum386024	K03686
OG0003318	Breviolum228966	K23012
OG0000625	Breviolum51408	K24835
OG0001532	Breviolum70821	K19329
OG0000534	Breviolum31388	K03453
OG0006901	Breviolum62896	K00318
OG0002297	Breviolum74604	K16726
OG0001147	Breviolum31488	K16608
OG0005713	Breviolum86371	K13026
OG0005342	Breviolum389032	K11864
OG0005202	Breviolum75161	K02735
OG0003313	Breviolum264535	K04464
OG0002479	Breviolum99540	K18726
OG0000074	Breviolum51238	K04891
OG0003706	Breviolum360534	K02878
OG0002609	Breviolum305906	K25546
OG0001481	Breviolum62460	K06990
OG0000411	Breviolum167976	K13525
OG0007468	Breviolum391360	K14570
OG0003671	Breviolum85546	K04371
OG0007282	Breviolum269242	K22745
OG0005313	Breviolum92848	K20298
OG0006377	Breviolum62527	K01724
OG0003529	Breviolum55210	K18272
OG0005018	Breviolum70441	K24070
OG0002932	Breviolum226721	K12581
OG0000752	Breviolum72594	K11416
OG0004767	Breviolum391317	K25877
OG0001664	Breviolum264158	K04078
OG0001350	Breviolum27608	K03233
OG0002046	Breviolum246406	K11187
OG0001278	Breviolum39774	K02219
OG0006891	Breviolum7443	K14855
OG0002145	Breviolum230033	K08054
OG0000294	Breviolum47548	K17508
OG0000263	Breviolum236186	K10380
OG0000904	Breviolum50049	K19502
OG0000651	Breviolum226832	K01179
OG0003418	Breviolum49565	K13412
OG0005608	Breviolum49258	K10416
OG0005181	Breviolum59296	K01307
OG0000080	Breviolum95920	K14379
OG0000836	Breviolum72685	K01758
OG0003556	Breviolum33342	K02445
OG0001906	Breviolum190889	K07456
OG0002612	Breviolum58567	K09540
OG0000810	Breviolum354578	K21993
OG0001014	Breviolum85812	K13719
OG0005753	Breviolum31746	K08764
OG0003358	Breviolum303008	K24195
OG0003437	Breviolum68557	K07880
OG0002700	Breviolum8673	K01613
OG0000701	Breviolum62621	K06221
OG0007681	Breviolum74571	K13335
OG0001181	Breviolum394608	K10949
OG0006444	Breviolum51226	K10595
OG0005446	Breviolum99553	K09602
OG0003211	Breviolum40359	K12176
OG0005789	Breviolum343290	K05954
OG0007361	Breviolum27015	K00898
OG0001779	Breviolum36931	K13806
OG0000004	Breviolum95107	K13412
OG0005512	Breviolum209035	K05931
OG0003739	Breviolum173787	K06994
OG0000170	Breviolum312542	K03438
OG0007192	Breviolum91160	K19613
OG0005901	Breviolum21564	K03762
OG0005365	Breviolum38462	K17943
OG0003639	Breviolum82377	K15042
OG0000944	Breviolum82487	K00901
OG0000691	Breviolum180863	K00898
OG0000511	Breviolum325400	K02985
OG0006674	Breviolum50752	K11968
OG0006392	Breviolum200648	K02210
OG0003068	Breviolum205599	K10615
OG0000630	Breviolum176975	K02112
OG0000331	Breviolum304574	K04908
OG0000036	Breviolum31807	K04730
OG0007112	Breviolum183891	K03246
OG0001850	Breviolum88466	K11592
OG0000051	Breviolum347229	K03798
OG0000337	Breviolum311472	K02918
OG0000004	Breviolum226804	K13412
OG0006047	Breviolum69971	K15537
OG0000942	Breviolum28362	K07893
