OG0000847	PFAM short chain dehydrogenase
OG0001444	endoplasmic reticulum-plasma membrane tethering
OG0007653	Peptidylprolyl isomerase
OG0001570	DEAD/DEAH box helicase
OG0000120	oligosaccharyl transferase activity
OG0003538	Enoyl-CoA hydratase/isomerase
OG0000270	1,3-beta-D-glucan synthase activity
OG0002598	methyltransferase activity
OG0003753	transferase activity, transferring hexosyl groups
OG0001599	UDP-galactose transporter 2-like
OG0004140	Exhibits S-adenosyl-L-methionine-dependent methyltransferase activity
OG0001152	Co-chaperone involved in the maturation of iron-sulfur cluster-containing proteins. Seems to help targeting proteins to be folded toward HscA
OG0003537	threonine-type endopeptidase activity
OG0002985	Aldehyde dehydrogenase family
OG0001878	calcium, potassium:sodium antiporter activity
OG0002532	FOP N terminal dimerisation domain
OG0005905	transcription coactivator activity
OG0008239	Fatty acid desaturase
OG0004784	MatE
OG0007925	Belongs to the ubiquitin-conjugating enzyme family
OG0005000	DHHC palmitoyltransferase
OG0008690	Belongs to the DEAD box helicase family
OG0000894	enzyme 1
OG0005052	RNA recognition motif 2
OG0000177	Cytochrome b5
OG0010039	ER lumen protein retaining receptor
OG0001954	Dehydrogenase reductase (SDR family) X-linked
OG0004388	peptidase. Source PGD
OG0004080	Region found in RelA / SpoT proteins
OG0003900	malonate catabolic process
OG0000956	poly(A)-specific ribonuclease activity
OG0000203	Control of topological states of DNA by transient breakage and subsequent rejoining of DNA strands. Topoisomerase II makes double-strand breaks
OG0003312	cyclin-dependent kinase
OG0002050	Formyl transferase, C-terminal domain
OG0000307	60S ribosomal protein L22
OG0007561	DREV methyltransferase
OG0001061	Phospholipid diacylglycerol acyltransferase
OG0000257	protein refolding
OG0006070	cleavage furrow ingression
OG0002679	Belongs to the universal ribosomal protein uS2 family
OG0003835	Sedoheptulose-1,7-bisphosphatase
OG0003852	Belongs to the alternative oxidase family
OG0001549	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay
OG0001373	heat shock protein binding
OG0010004	Histone-binding protein RBBP4 or subunit C of CAF1 complex
OG0008490	Involved in the glycolate utilization. Catalyzes the condensation and subsequent hydrolysis of acetyl-coenzyme A (acetyl-CoA) and glyoxylate to form malate and CoA
OG0002595	NAD+ synthase (glutamine-hydrolyzing) activity
OG0001954	Short-chain dehydrogenase reductase sdr
OG0001980	RNA recognition motif 2
OG0002979	steroid binding
OG0003147	Ribosomal protein S1-like RNA-binding domain
OG0000662	RAB39A, member RAS oncogene family
OG0002438	Belongs to the DEAD box helicase family
OG0001486	xylose isomerase activity
OG0004808	Belongs to the transthyretin family. 5-hydroxyisourate hydrolase subfamily
OG0000422	AAA domain (dynein-related subfamily)
OG0002405	Pyridoxal 5'-phosphate (PLP)-binding protein, which may be involved in intracellular homeostatic regulation of pyridoxal 5'-phosphate (PLP), the active form of vitamin B6
OG0005987	Ribosomal protein S8e
OG0005329	Cytochrome P450
OG0007020	Catalyzes the third of the four reactions of the long- chain fatty acids elongation cycle. This endoplasmic reticulum- bound enzymatic process, allows the addition of two carbons to the chain of long- and very long-chain fatty acids VLCFAs per cycle. This enzyme catalyzes the dehydration of the 3-hydroxyacyl-CoA intermediate into trans-2,3-enoyl-CoA, within each cycle of fatty acid elongation. Thereby, it participates to the production of VLCFAs of different chain lengths that are involved in multiple biological processes as precursors of membrane lipids and lipid mediators
OG0000821	Helicase conserved C-terminal domain
OG0005960	oxidoreductase activity
OG0005619	pre-mRNA-processing factor
OG0001117	Calcineurin-like phosphoesterase
OG0001083	Photosystem I, reaction centre subunit XI
OG0002745	Chlorophyll A-B binding protein
OG0000817	Lysine methyltransferase
OG0004723	tRNAPhe (7-(3-amino-3-carboxypropyl)wyosine37-C2)-hydroxylase activity
OG0000663	ABC-2 type transporter
OG0003122	ATPase that binds to both the 70S ribosome and the 50S ribosomal subunit in a nucleotide-independent manner
OG0002307	Conserved region in glutamate synthase
OG0006303	ubiquitin-specific protease activity involved in negative regulation of retrograde protein transport, ER to cytosol
OG0009478	zinc ion binding
OG0001757	Belongs to the TrkH potassium transport family
OG0000706	mRNA, complete cds
OG0005942	Involved in the biosynthesis of porphyrin-containing compound
OG0002881	Bifunctional enzyme. Involved in de novo dTMP biosynthesis. Key enzyme in folate metabolism
OG0000033	Ion transport protein
OG0004298	coreceptor activity involved in Wnt signaling pathway, planar cell polarity pathway
OG0003609	NPL4 family, putative zinc binding region
OG0001525	Belongs to the glycosyl hydrolase 5 (cellulase A) family
OG0001873	structural constituent of ribosome
OG0004635	uterine gland development
OG0001401	Belongs to the protein kinase superfamily
OG0002317	6phosphofructo2kinase
OG0003869	motile cilium assembly
OG0001361	BTB POZ domain-containing protein
OG0001932	Zinc finger CCCH type domain
OG0003671	Domain of unknown function (DUF4483)
OG0002893	ABC-2 type transporter
OG0000673	Uncharacterized protein family UPF0004
OG0000383	S-adenosyl-L-homocysteine hydrolase, NAD binding domain
OG0001013	Electron carrier protein. The oxidized form of the cytochrome c heme group can accept an electron from the heme group of the cytochrome c1 subunit of cytochrome reductase. Cytochrome c then transfers this electron to the cytochrome oxidase complex, the final protein carrier in the mitochondrial electron-transport chain
OG0004238	-
OG0000894	Belongs to the ubiquitin-activating E1 family
OG0004223	Folic acid synthesis protein fol1. Source PGD
OG0003290	Calcium calmodulin-dependent protein kinase
OG0004647	mitochondrial transport
OG0000695	UDP-glucose 6-dehydrogenase
OG0001221	NIM1 serine threonine protein kinase
OG0002728	selenide, water dikinase activity
OG0007939	Calcineurin-like phosphoesterase
OG0006960	Calcium binding protein 39, like 1
OG0007026	short chain dehydrogenase
OG0001780	Inward rectifier potassium channel
OG0000183	linker protein
OG0007325	Cytochrome C oxidase copper chaperone (COX17)
OG0000337	nitrate reductase
OG0007806	RNA uridylyltransferase activity
OG0000593	Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A.1.1) family
OG0008920	1-phosphatidylinositol-3-phosphate 5-kinase activity
