Breviolum17138	Intracellular trafficking, secretion, and vesicular transport
Breviolum11684	Posttranslational modification, protein turnover, chaperones
Breviolum89954	
Breviolum2178	Carbohydrate transport and metabolism
Breviolum77933	Coenzyme transport and metabolism
Breviolum47098	Posttranslational modification, protein turnover, chaperones
Breviolum95543	Posttranslational modification, protein turnover, chaperones
Breviolum56036	Intracellular trafficking, secretion, and vesicular transport
Breviolum98437	Signal transduction mechanisms
Breviolum98487	Lipid transport and metabolism
Breviolum67540	
Breviolum65436	Amino acid transport and metabolism
Breviolum20897	Cytoskeleton
Breviolum12457	
Breviolum56523	Nucleotide transport and metabolism
Breviolum1480	Posttranslational modification, protein turnover, chaperones
Breviolum43639	Carbohydrate transport and metabolism
Breviolum86772	Intracellular trafficking, secretion, and vesicular transport
Breviolum18409	Translation, ribosomal structure and biogenesis
Breviolum55811	Inorganic ion transport and metabolism
Breviolum85185	
Breviolum55405	
Breviolum56585	Posttranslational modification, protein turnover, chaperones
Breviolum29145	
Breviolum8918	Secondary metabolites biosynthesis, transport and catabolism
Breviolum89187	Chromatin structure and dynamics
Breviolum949	Defense mechanisms
Breviolum970	Energy production and conversion
Breviolum97230	Energy production and conversion
Breviolum8234	Amino acid transport and metabolism
Breviolum16325	Posttranslational modification, protein turnover, chaperones
Breviolum9549	Carbohydrate transport and metabolism
Breviolum76710	RNA processing and modification
Breviolum39870	Energy production and conversion
Breviolum23055	Nucleotide transport and metabolism
Breviolum26603	Cell wall/membrane/envelope biogenesis
Breviolum16079	Carbohydrate transport and metabolism
Breviolum68957	
Breviolum47009	Posttranslational modification, protein turnover, chaperones
Breviolum46194	RNA processing and modification
Breviolum22781	Energy production and conversion
Breviolum1456	Translation, ribosomal structure and biogenesis
Breviolum18926	Secondary metabolites biosynthesis, transport and catabolism
Breviolum47530	RNA processing and modification
Breviolum85877	Energy production and conversion
Breviolum51497	Amino acid transport and metabolism
Breviolum557	RNA processing and modification
Breviolum79315	Signal transduction mechanisms
Breviolum38134	Energy production and conversion
Breviolum57159	Inorganic ion transport and metabolism
Breviolum24547	Nucleotide transport and metabolism
Breviolum4593	Lipid transport and metabolism
Breviolum46614	Nucleotide transport and metabolism
Breviolum87136	RNA processing and modification
Breviolum20222	Posttranslational modification, protein turnover, chaperones
Breviolum57051	Posttranslational modification, protein turnover, chaperones
Breviolum8191	Translation, ribosomal structure and biogenesis
Breviolum55710	Lipid transport and metabolism
Breviolum24043	Translation, ribosomal structure and biogenesis
Breviolum50037	Transcription
Breviolum96668	RNA processing and modification
Breviolum101157	Amino acid transport and metabolism
Breviolum1362	Carbohydrate transport and metabolism
Breviolum99777	Translation, ribosomal structure and biogenesis
Breviolum11781	Translation, ribosomal structure and biogenesis
Breviolum19665	Intracellular trafficking, secretion, and vesicular transport
Breviolum4203	Energy production and conversion
Breviolum7503	Signal transduction mechanisms
Breviolum10637	Nucleotide transport and metabolism
Breviolum66747	Coenzyme transport and metabolism
Breviolum903	Nucleotide transport and metabolism
Breviolum23757	Posttranslational modification, protein turnover, chaperones
Breviolum2575	Translation, ribosomal structure and biogenesis
Breviolum4902	RNA processing and modification
Breviolum37572	Posttranslational modification, protein turnover, chaperones
Breviolum102681	Energy production and conversion
Breviolum28077	Translation, ribosomal structure and biogenesis
Breviolum52235	Cell motility
Breviolum23912	Transcription
Breviolum42128	Lipid transport and metabolism
Breviolum47895	
Breviolum13135	Energy production and conversion
Breviolum67480	
Breviolum80118	Energy production and conversion
Breviolum14422	Cell cycle control, cell division, chromosome partitioning
Breviolum79827	
Breviolum2398	Signal transduction mechanisms
Breviolum57237	Transcription
Breviolum49176	Posttranslational modification, protein turnover, chaperones
Breviolum69026	Signal transduction mechanisms
