Breviolum180235	Intracellular trafficking, secretion, and vesicular transport
Breviolum81386	Posttranslational modification, protein turnover, chaperones
Breviolum310742	Coenzyme transport and metabolism
Breviolum156671	Coenzyme transport and metabolism
Breviolum16784	Posttranslational modification, protein turnover, chaperones
Breviolum88950	Cytoskeleton
Breviolum20309	Posttranslational modification, protein turnover, chaperones
Breviolum218038	Posttranslational modification, protein turnover, chaperones
Breviolum84640	Amino acid transport and metabolism
Breviolum77356	Signal transduction mechanisms
Breviolum16691	Signal transduction mechanisms
Breviolum56413	
Breviolum286672	Posttranslational modification, protein turnover, chaperones
Breviolum13724	Translation, ribosomal structure and biogenesis
Breviolum156226	Energy production and conversion
Breviolum99835	Cell cycle control, cell division, chromosome partitioning
Breviolum65124	Posttranslational modification, protein turnover, chaperones
Breviolum220173	Translation, ribosomal structure and biogenesis
Breviolum103218	RNA processing and modification
Breviolum136719	Amino acid transport and metabolism
Breviolum240013	Signal transduction mechanisms
Breviolum91347	Carbohydrate transport and metabolism
Breviolum213641	Translation, ribosomal structure and biogenesis
Breviolum76832	Inorganic ion transport and metabolism
Breviolum85252	Signal transduction mechanisms
Breviolum17497	
Breviolum39549	Secondary metabolites biosynthesis, transport and catabolism
Breviolum208362	Secondary metabolites biosynthesis, transport and catabolism
Breviolum30871	Energy production and conversion
Breviolum64994	Signal transduction mechanisms
Breviolum175339	Posttranslational modification, protein turnover, chaperones
Breviolum46171	Nucleotide transport and metabolism
Breviolum146198	Posttranslational modification, protein turnover, chaperones
Breviolum207074	Coenzyme transport and metabolism
Breviolum64960	Signal transduction mechanisms
Breviolum78376	RNA processing and modification
Breviolum58932	Amino acid transport and metabolism
Breviolum67475	Defense mechanisms
Breviolum79669	Posttranslational modification, protein turnover, chaperones
Breviolum214192	Signal transduction mechanisms
Breviolum133808	Posttranslational modification, protein turnover, chaperones
Breviolum161228	Secondary metabolites biosynthesis, transport and catabolism
Breviolum237159	Posttranslational modification, protein turnover, chaperones
Breviolum55091	Energy production and conversion
Breviolum28358	Signal transduction mechanisms
Breviolum56655	Inorganic ion transport and metabolism
Breviolum56585	Posttranslational modification, protein turnover, chaperones
Breviolum57084	Replication, recombination and repair
Breviolum177696	Posttranslational modification, protein turnover, chaperones
Breviolum39611	Cytoskeleton
Breviolum237285	RNA processing and modification
Breviolum23516	Carbohydrate transport and metabolism
Breviolum184346	Carbohydrate transport and metabolism
Breviolum245673	Posttranslational modification, protein turnover, chaperones
Breviolum99825	Cell wall/membrane/envelope biogenesis
Breviolum109415	
Breviolum282070	Amino acid transport and metabolism
Breviolum48821	Carbohydrate transport and metabolism
Breviolum173858	Coenzyme transport and metabolism
Breviolum55277	Energy production and conversion
Breviolum13155	Posttranslational modification, protein turnover, chaperones
Breviolum288854	Translation, ribosomal structure and biogenesis
Breviolum54412	Intracellular trafficking, secretion, and vesicular transport
Breviolum58849	Nucleotide transport and metabolism
Breviolum71902	Translation, ribosomal structure and biogenesis
Breviolum34017	Posttranslational modification, protein turnover, chaperones
Breviolum86422	Carbohydrate transport and metabolism
Breviolum286125	Replication, recombination and repair
Breviolum98782	Inorganic ion transport and metabolism
Breviolum172602	Coenzyme transport and metabolism
Breviolum37836	Posttranslational modification, protein turnover, chaperones
Breviolum61454	RNA processing and modification
Breviolum209883	Lipid transport and metabolism
Breviolum82417	Cytoskeleton
Breviolum80399	RNA processing and modification
Breviolum158556	Signal transduction mechanisms
Breviolum64422	Intracellular trafficking, secretion, and vesicular transport
Breviolum54055	Coenzyme transport and metabolism
Breviolum139797	Posttranslational modification, protein turnover, chaperones
Breviolum91275	Intracellular trafficking, secretion, and vesicular transport
Breviolum158199	Secondary metabolites biosynthesis, transport and catabolism
Breviolum274500	Posttranslational modification, protein turnover, chaperones
Breviolum45073	Intracellular trafficking, secretion, and vesicular transport
Breviolum277516	Signal transduction mechanisms
Breviolum23055	Signal transduction mechanisms
Breviolum210613	Carbohydrate transport and metabolism
Breviolum59765	Signal transduction mechanisms
Breviolum79206	Cytoskeleton
Breviolum175443	Energy production and conversion
Breviolum156209	Signal transduction mechanisms
Breviolum16079	
Breviolum123854	Intracellular trafficking, secretion, and vesicular transport
Breviolum82441	Amino acid transport and metabolism
Breviolum69936	Translation, ribosomal structure and biogenesis
Breviolum77165	Amino acid transport and metabolism
Breviolum105749	Defense mechanisms
Breviolum46194	Chromatin structure and dynamics
Breviolum243350	Posttranslational modification, protein turnover, chaperones
Breviolum89747	Posttranslational modification, protein turnover, chaperones
Breviolum248306	Nucleotide transport and metabolism
Breviolum242659	
Breviolum207750	Posttranslational modification, protein turnover, chaperones
Breviolum249976	Signal transduction mechanisms
Breviolum94879	Energy production and conversion
Breviolum243058	Coenzyme transport and metabolism
Breviolum104847	Cell wall/membrane/envelope biogenesis
Breviolum58973	Amino acid transport and metabolism
Breviolum2716	Energy production and conversion
Breviolum155148	Signal transduction mechanisms
Breviolum82007	Coenzyme transport and metabolism
Breviolum40851	Transcription
Breviolum88341	
Breviolum18942	Signal transduction mechanisms
Breviolum143083	RNA processing and modification
Breviolum57051	Replication, recombination and repair
Breviolum65672	Signal transduction mechanisms
Breviolum40713	Translation, ribosomal structure and biogenesis
Breviolum209069	Posttranslational modification, protein turnover, chaperones
Breviolum54489	Carbohydrate transport and metabolism
Breviolum74017	Posttranslational modification, protein turnover, chaperones
Breviolum79399	Posttranslational modification, protein turnover, chaperones
Breviolum158036	Secondary metabolites biosynthesis, transport and catabolism
Breviolum84714	Secondary metabolites biosynthesis, transport and catabolism
Breviolum239848	RNA processing and modification
Breviolum205216	Posttranslational modification, protein turnover, chaperones
Breviolum142734	Translation, ribosomal structure and biogenesis
Breviolum82576	Secondary metabolites biosynthesis, transport and catabolism
Breviolum174570	Inorganic ion transport and metabolism
Breviolum60283	
Breviolum216004	Translation, ribosomal structure and biogenesis
Breviolum53248	Posttranslational modification, protein turnover, chaperones
Breviolum48870	Posttranslational modification, protein turnover, chaperones
Breviolum18918	Carbohydrate transport and metabolism
Breviolum73882	Posttranslational modification, protein turnover, chaperones
Breviolum91437	Signal transduction mechanisms
Breviolum108320	Replication, recombination and repair
Breviolum30433	Replication, recombination and repair
Breviolum110654	Posttranslational modification, protein turnover, chaperones
Breviolum90484	
Breviolum79435	Posttranslational modification, protein turnover, chaperones
Breviolum272251	Energy production and conversion
Breviolum146566	Secondary metabolites biosynthesis, transport and catabolism
Breviolum138955	Secondary metabolites biosynthesis, transport and catabolism
Breviolum71007	Replication, recombination and repair
Breviolum123499	Signal transduction mechanisms
Breviolum61497	Coenzyme transport and metabolism
Breviolum69519	Secondary metabolites biosynthesis, transport and catabolism
Breviolum144788	Signal transduction mechanisms
Breviolum131486	RNA processing and modification
Breviolum174159	Coenzyme transport and metabolism
Breviolum204931	Posttranslational modification, protein turnover, chaperones
Breviolum92024	Extracellular structures
Breviolum75907	Posttranslational modification, protein turnover, chaperones
Breviolum54990	Signal transduction mechanisms
Breviolum82490	Cell wall/membrane/envelope biogenesis
Breviolum117123	RNA processing and modification
Breviolum14422	Posttranslational modification, protein turnover, chaperones
Breviolum140300	Signal transduction mechanisms
Breviolum156761	Carbohydrate transport and metabolism
Breviolum136627	
Breviolum82754	
Breviolum156559	
Breviolum238419	
Breviolum184384	Chromatin structure and dynamics
Breviolum101406	Translation, ribosomal structure and biogenesis
Breviolum103044	Chromatin structure and dynamics
Breviolum107082	Replication, recombination and repair
Breviolum136283	
Breviolum247045	Signal transduction mechanisms
Breviolum56804	Posttranslational modification, protein turnover, chaperones
Breviolum116269	RNA processing and modification
Breviolum61858	Translation, ribosomal structure and biogenesis
Breviolum106193	Nucleotide transport and metabolism
Breviolum306666	Translation, ribosomal structure and biogenesis
Breviolum209957	Posttranslational modification, protein turnover, chaperones
Breviolum40212	Signal transduction mechanisms
Breviolum290778	RNA processing and modification
Breviolum205118	Posttranslational modification, protein turnover, chaperones
Breviolum237974	Posttranslational modification, protein turnover, chaperones
Breviolum156448	Translation, ribosomal structure and biogenesis
Breviolum100977	Translation, ribosomal structure and biogenesis
Breviolum238548	Posttranslational modification, protein turnover, chaperones
Breviolum133740	Posttranslational modification, protein turnover, chaperones
Breviolum76526	Signal transduction mechanisms
Breviolum60419	Posttranslational modification, protein turnover, chaperones
Breviolum66220	Amino acid transport and metabolism
Breviolum271720	Nucleotide transport and metabolism
Breviolum5436	Replication, recombination and repair
Breviolum129658	Signal transduction mechanisms
Breviolum133348	Carbohydrate transport and metabolism
Breviolum24596	Carbohydrate transport and metabolism
Breviolum271090	
Breviolum75608	Intracellular trafficking, secretion, and vesicular transport
Breviolum310934	Amino acid transport and metabolism
Breviolum80334	Cytoskeleton
Breviolum75114	
Breviolum157904	Signal transduction mechanisms
Breviolum188349	
Breviolum242832	Carbohydrate transport and metabolism
Breviolum52515	Secondary metabolites biosynthesis, transport and catabolism
Breviolum178170	Carbohydrate transport and metabolism
Breviolum57808	Posttranslational modification, protein turnover, chaperones
Breviolum218898	Defense mechanisms
Breviolum66134	Signal transduction mechanisms
Breviolum138006	
Breviolum50598	Coenzyme transport and metabolism
Breviolum311016	Energy production and conversion
Breviolum306040	Translation, ribosomal structure and biogenesis
Breviolum59048	Intracellular trafficking, secretion, and vesicular transport
