OG0008413	Breviolum2541	K06627
OG0000908	Breviolum324795	K00812
OG0000991	Breviolum841602	K00116
OG0007095	Breviolum302245	K10395
OG0007499	Breviolum219999	K08798
OG0002077	Breviolum272167	K22940
OG0004486	Breviolum105046	K17290
OG0007157	Breviolum764397	K06228
OG0000383	Breviolum632397	K01251
OG0006271	Breviolum354172	K19329
OG0001922	Breviolum163233	K22372
OG0006603	Breviolum502653	K20290
OG0001183	Breviolum682032	K11086
OG0009554	Breviolum608004	K11661
OG0003525	Breviolum232114	K00831
OG0003313	Breviolum274636	K16608
OG0000673	Breviolum771094	K15865
OG0007477	Breviolum4528	K10268
OG0000981	Breviolum776912	K02964
OG0001815	Breviolum219562	K20028
OG0007176	Breviolum336600	K11426
OG0009800	Breviolum74820	K19306
OG0003708	Breviolum388181	K10408
OG0009480	Breviolum248625	K21440
OG0000375	Breviolum269133	K08910
OG0004659	Breviolum533194	K17506
OG0003451	Breviolum340724	K18081
OG0005198	Breviolum203027	K22522
OG0000437	Breviolum761501	K01647
OG0006815	Breviolum531128	K10860
OG0004215	Breviolum274577	K20165
OG0001013	Breviolum315861	K08738
OG0000095	Breviolum530574	K01637
OG0005578	Breviolum691112	K10380
OG0000780	Breviolum374966	K04802
OG0001534	Breviolum762066	K00380
OG0000315	Breviolum563197	K03768
OG0007279	Breviolum164770	K09571
OG0009951	Breviolum4466	K03183
OG0000905	Breviolum214056	K06180
OG0000131	Breviolum559997	K02957
OG0000131	Breviolum884611	K02957
OG0000519	Breviolum566150	K11481
OG0000238	Breviolum29819	K08057
OG0001571	Breviolum873518	K02940
OG0002615	Breviolum605288	K00558
OG0000003	Breviolum871594	K04043
OG0000087	Breviolum113330	K07374
OG0001636	Breviolum687646	K04930
OG0005186	Breviolum37494	K16726
OG0001733	Breviolum384993	K14442
OG0001106	Breviolum169821	K12492
OG0004259	Breviolum289634	K01488
OG0005629	Breviolum611511	K14803
OG0003425	Breviolum213373	K12132
OG0009660	Breviolum189644	K11162
OG0002270	Breviolum135270	K06147
OG0002433	Breviolum38874	K01580
OG0003526	Breviolum624190	K09142
OG0006738	Breviolum466119	K00058
OG0005898	Breviolum212738	K24936
OG0000656	Breviolum811209	K24175
OG0004202	Breviolum120263	K05794
OG0000306	Breviolum682997	K00789
OG0009903	Breviolum278471	K10949
OG0004786	Breviolum4180	K19519
OG0002207	Breviolum252407	K10380
OG0009425	Breviolum38886	K08303
OG0005907	Breviolum192931	K01090
OG0000112	Breviolum442395	K02256
OG0010153	Breviolum150516	K00545
OG0009448	Breviolum100535	K20289
OG0004041	Breviolum524831	K09564
OG0004622	Breviolum85169	K04464
OG0002704	Breviolum485480	K09502
OG0004964	Breviolum531012	K03115
OG0000422	Breviolum209280	K03924
OG0001677	Breviolum322061	K03686
OG0000094	Breviolum57652	K00600
OG0000328	Breviolum601574	K02872
OG0003058	Breviolum842719	K00850
OG0000425	Breviolum551462	K24512
OG0000012	Breviolum520323	K05692
OG0003869	Breviolum490337	K19752
OG0000148	Breviolum194802	K05643
OG0000003	Breviolum231123	K04043
OG0000238	Breviolum462031	K08057
OG0000168	Breviolum280839	K02953
OG0003374	Breviolum261052	K21440
OG0000028	Breviolum291979	K10392
