OG0001871	macromolecule glycosylation
OG0003629	Antibiotic biosynthesis monooxygenase
OG0002355	Transmembrane protein 65
OG0004636	Vacuolar protein sorting-associated protein
OG0007347	Phosphoglycerate mutase family
OG0006041	endoribonuclease
OG0000045	Pyoverdine sidechain peptide synthetase II, D-Asp-L-Thr component
OG0002910	PPIases accelerate the folding of proteins. It catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides
OG0007321	Jumonji domain containing 8
OG0006659	thiol-dependent ubiquitin-specific protease activity
OG0001305	microtubule motor activity
OG0000232	Cold shock protein
OG0006798	Transmembrane E3 ubiquitin-protein ligase 1-like
OG0001743	Malate/L-lactate dehydrogenase
OG0000045	amino acid adenylation domain protein
OG0005701	Has a glutathione-disulfide oxidoreductase activity in the presence of NADPH and glutathione reductase. Reduces low molecular weight disulfides and proteins
OG0003560	metallocarboxypeptidase activity
OG0006326	EF hand
OG0002163	RING-like zinc finger
OG0001883	Belongs to the adenylate kinase family
OG0004795	2-nitropropane dioxygenase
OG0006671	Non-specific serine threonine protein kinase
OG0006123	NAD-dependent glycerol-3-phosphate dehydrogenase C-terminus
OG0002621	Ribosome biogenesis protein
OG0005879	Zinc finger, C3HC4 type (RING finger)
OG0001640	major facilitator superfamily
OG0003487	2OG-Fe(II) oxygenase superfamily
OG0001442	Chaperone protein DNAj
OG0006088	antr2,pht4
OG0001404	O-methyltransferase
OG0001731	methyltransferase activity
OG0007402	ubiquitin-protein transferase activity
OG0005772	Catalyzes the irreversible NADPH-dependent deamination of GMP to IMP. It functions in the conversion of nucleobase, nucleoside and nucleotide derivatives of G to A nucleotides, and in maintaining the intracellular balance of A and G nucleotides
OG0007501	Pfam:UPF0118
OG0002267	2OG-Fe(II) oxygenase superfamily
OG0002093	Guanylate-binding protein, N-terminal domain
OG0000771	Glycosyltransferase sugar-binding region containing DXD motif
OG0006780	Pyrophosphatase that catalyzes the hydrolysis of nucleoside triphosphates to their monophosphate derivatives, with a high preference for the non-canonical purine nucleotides XTP (xanthosine triphosphate), dITP (deoxyinosine triphosphate) and ITP. Seems to function as a house-cleaning enzyme that removes non-canonical purine nucleotides from the nucleotide pool, thus preventing their incorporation into DNA RNA and avoiding chromosomal lesions
OG0002813	Belongs to the DEAD box helicase family
OG0005191	Belongs to the iron ascorbate-dependent oxidoreductase family
OG0005336	L-ascorbic acid binding
OG0000020	Belongs to the DEAD box helicase family
OG0000198	The RING-variant domain is a C4HC3 zinc-finger like motif found in a number of cellular and viral proteins. Some of these proteins have been shown both in vivo and in vitro to have ubiquitin E3 ligase activity.
OG0002683	protein ADP-ribosylase activity
OG0004323	Belongs to the transketolase family
OG0004305	Microtubule binding
OG0005594	acetylcholinesterase activity
OG0001088	Thought to act as a glyoxalase. May remove methylglyoxal from mitochondrial proteins. Has roles in reducing oxidative stress and increasing lifespan
OG0006888	Calcium-binding protein
OG0007366	calcium-dependent protein serine/threonine kinase activity
OG0002820	glutamate-5-semialdehyde dehydrogenase activity
OG0006165	non-motile cilium assembly
OG0002309	Belongs to the class I-like SAM-binding methyltransferase superfamily. RNA M5U methyltransferase family
OG0000709	esterase
OG0006347	D-isomer specific 2-hydroxyacid dehydrogenase, catalytic domain
OG0007233	BOBBER 1-like
OG0001759	Centrosomal protein
OG0000436	ATPase activity, coupled to transmembrane movement of substances
OG0003980	IMP cyclohydrolase activity
OG0006157	adenosine
OG0002724	Cid1 family poly A polymerase
OG0000040	High affinity cGMP-specific 3',5'-cyclic phosphodiesterase
OG0007596	Lipopolysaccharide kinase (Kdo/WaaP) family
OG0000195	Belongs to the protein kinase superfamily. Ser Thr protein kinase family
OG0002152	Mitochondrial biogenesis AIM24
OG0000058	dynactin
OG0006234	belongs to the protein kinase superfamily
OG0002618	Source PGD
OG0003474	Belongs to the universal ribosomal protein uL11 family
OG0002682	thiopurine S-methyltransferase activity
OG0006977	protein affecting Mg2 Co2 transport
OG0005366	Thiamine pyrophosphate enzyme, N-terminal TPP binding domain
OG0005571	methyltransferase activity
OG0004032	UDP-N-acetylglucosamine diphosphorylase activity
OG0004138	COG0265 Trypsin-like serine proteases, typically periplasmic, contain C-terminal PDZ domain
OG0001620	1,4-alpha-glucan branching enzyme activity
OG0001742	Lycopene cyclase protein
OG0003709	Belongs to the SelWTH family. Selenoprotein T subfamily
OG0000907	Doublecortin
OG0002107	Belongs to the eukaryotic ribosomal protein eL36 family
OG0002461	protein kinase activity
OG0005332	Catalyzes the oxidative decarboxylation of 6- phosphogluconate to ribulose 5-phosphate and CO(2), with concomitant reduction of NADP to NADPH
OG0001726	Belongs to the class VI-like SAM-binding methyltransferase superfamily. Isoprenylcysteine carboxyl methyltransferase family
OG0006906	AIG1 family
OG0004115	Trypsin
OG0000347	DnaJ domain protein
OG0001875	RING-like zinc finger
OG0007568	N,N-dimethylaniline monooxygenase activity
OG0002431	Triose-phosphate Transporter family
OG0000793	Cytochrome P450. Source PGD
OG0005585	(RNA) helicase
OG0002133	Proteasome subunit beta
OG0001625	serine threonine-protein kinase Chk2
OG0007028	Enoyl-CoA hydratase/isomerase
OG0000237	Kinase-like
OG0004797	Interferon-inducible GTPase
OG0003222	Lactonase, 7-bladed beta-propeller
OG0003013	Zinc-binding dehydrogenase
OG0003795	Dual-specificity methyltransferase that catalyzes the formation of 5-methyluridine at position 54 (m5U54) in all tRNAs, and that of position 341 (m5U341) in tmRNA (transfer-mRNA)
OG0001965	Belongs to the ubiquitin-conjugating enzyme family
OG0002795	Carbohydrate-binding module family 20 protein
OG0002401	Glycogen recognition site of AMP-activated protein kinase
OG0000209	annealing helicase activity
OG0004760	keratinocyte development
OG0005211	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase activity
OG0002343	alternative oxidase activity
OG0004568	homolog 6
OG0002972	cytochrome C
OG0000956	S-adenosyl-L-methionine-dependent protein-lysine N- methyltransferase that methylates elongation factor 1-alpha
OG0000430	cGMP-dependent protein kinase activity
OG0007215	positive regulation of protein localization to cilium
OG0000172	phosphopantetheine binding
OG0003664	serine-type carboxypeptidase activity
OG0002124	methyltransferase activity
OG0005923	adenyl-nucleotide exchange factor activity
OG0004816	Protein tyrosine kinase
OG0002330	MFS_1 like family
OG0000012	heat shock protein 70
OG0003512	Peptidase family S51
OG0000251	Ribosomal protein S1-like RNA-binding domain
OG0001171	lysine N-methyltransferase activity
OG0004657	sperm chromatin condensation
OG0003175	COG0659 Sulfate permease and related transporters (MFS superfamily
OG0002323	Inositol 1,4,5-trisphosphate-sensitive calcium-release channel activity. It is involved in the biological process described with calcium ion transmembrane transport
OG0002985	Peptidase S15
OG0006769	Aldo/keto reductase family
OG0002334	Ras-related GTP binding A
OG0001977	Binds to Cpn60 in the presence of Mg-ATP and suppresses the ATPase activity of the latter
OG0006067	COG1020 Non-ribosomal peptide synthetase modules and related proteins
OG0000172	nonribosomal peptide
OG0000603	aspartic-type endopeptidase activity
OG0001076	Catalyzes the NADPH-dependent formation of L-aspartate- semialdehyde (L-ASA) by the reductive dephosphorylation of L- aspartyl-4-phosphate
